37.8901678486,-122.252674385,37.8907161514,-122.251979615
37.6177878528,-122.035392103,37.6183361472,-122.034699897
37.8933928486,-122.2577154,37.8939411514,-122.2570206
37.8940208486,-122.268255403,37.8945691514,-122.267560597
37.8838298487,-122.259612355,37.8843781513,-122.258917645
37.868039849,-122.25550828,37.868588151,-122.25481372
37.8582348491,-122.252972234,37.8587831509,-122.252277766
37.8612608491,-122.251048248,37.8618091509,-122.250353752
37.8565088491,-122.254578225,37.8570571509,-122.253883775
37.8604308491,-122.259383244,37.8609791509,-122.258688756
37.8570078491,-122.262727228,37.8575561509,-122.262032772
37.862282849,-122.264311253,37.862831151,-122.263616747
37.8919218486,-122.279711393,37.8924701514,-122.279016607
37.8901048486,-122.277208384,37.8906531514,-122.276513616
37.8886118486,-122.276779377,37.8891601514,-122.276084623
37.8876178487,-122.268641373,37.8881661513,-122.267946627
37.8940208486,-122.268255403,37.8945691514,-122.267560597
37.8808018488,-122.27741334,37.8813501512,-122.27671866
37.8766518488,-122.271606321,37.8772001512,-122.270911679
37.8784648488,-122.266871329,37.8790131512,-122.266176671
37.8822088487,-122.280639347,37.8827571513,-122.279944653
37.8737938489,-122.282054307,37.8743421511,-122.281359693
37.8749908488,-122.279553313,37.8755391512,-122.278858687
37.8570348491,-122.277009228,37.8575831509,-122.276314772
37.8563768491,-122.274835225,37.8569251509,-122.274140775
37.8518628492,-122.274049203,37.8524111508,-122.273354797
37.8552928492,-122.28336922,37.8558411508,-122.28267478
37.7184918513,-122.147803575,37.7190401487,-122.147110425
37.8686698489,-122.285961283,37.8692181511,-122.285266717
37.8763088488,-122.283083319,37.8768571512,-122.282388681
37.8188998497,-122.201541048,37.8194481503,-122.200846952
37.8744598489,-122.29684631,37.8750081511,-122.29615169
37.8689708489,-122.298427284,37.8695191511,-122.297732716
37.8611218491,-122.293605247,37.8616701509,-122.292910753
37.8337498495,-122.213211118,37.8342981505,-122.212516882
37.8401108494,-122.233167148,37.8406591506,-122.232472852
37.8382488494,-122.232678139,37.8387971506,-122.231983861
37.8502178492,-122.243657196,37.8507661508,-122.242962804
37.8451678493,-122.250878172,37.8457161507,-122.250183828
37.8398268494,-122.251820147,37.8403751506,-122.251125853
37.8476638493,-122.252472184,37.8482121507,-122.251777816
37.8398268494,-122.251820147,37.8403751506,-122.251125853
37.8383188494,-122.303713139,37.8388671506,-122.303018861
37.8352758495,-122.260464125,37.8358241505,-122.259769875
37.8285388496,-122.251153093,37.8290871504,-122.250458907
37.8288338496,-122.249160095,37.8293821504,-122.248465905
37.8264168496,-122.250738083,37.8269651504,-122.250043917
37.8075678499,-122.230551994,37.8081161501,-122.229858006
37.8061118499,-122.224882987,37.8066601501,-122.224189013
37.80279485,-122.230869972,37.80334315,-122.230176028
37.80137785,-122.222494965,37.80192615,-122.221801035
37.8053258499,-122.218939984,37.8058741501,-122.218246016
37.80394785,-122.212559977,37.80449615,-122.211866023
37.8330538495,-122.257486115,37.8336021505,-122.256791885
37.8315638495,-122.254360108,37.8321121505,-122.253665892
37.8236628496,-122.26230307,37.8242111504,-122.26160893
37.8181438497,-122.252726044,37.8186921503,-122.252031956
37.8126718498,-122.248832018,37.8132201502,-122.248137982
37.8115628498,-122.242232013,37.8121111502,-122.241537987
37.8200518497,-122.244552053,37.8206001503,-122.243857947
37.8392388494,-122.198462144,37.8397871506,-122.197767856
37.8367858494,-122.209754132,37.8373341506,-122.209059868
37.8089768499,-122.191149001,37.8095251501,-122.190454999
37.8549518492,-122.229762218,37.8555001508,-122.229067782
37.8976318485,-122.30272742,37.8981801515,-122.30203258
37.738382851,-122.238871668,37.738931149,-122.238178332
37.8245208496,-122.232444074,37.8250691504,-122.231749926
34.7475948966,-82.4922105938,34.7481431034,-82.4915434062
37.5283798542,-121.921817686,37.5289281458,-121.921126314
37.734577851,-122.24631665,37.735126149,-122.24562335
37.7320158511,-122.242688638,37.7325641489,-122.241995362
37.7574308507,-122.236669758,37.7579791493,-122.235976242
37.7541318507,-122.238881742,37.7546801493,-122.238188258
37.7583098507,-122.255974762,37.7588581493,-122.255281238
37.7583608507,-122.247838762,37.7589091493,-122.247145238
37.7662228505,-122.255584799,37.7667711495,-122.254891201
37.7650108506,-122.235036794,37.7655591494,-122.234343206
37.7661888505,-122.244780799,37.7667371495,-122.244087201
37.7630898506,-122.254229785,37.7636381494,-122.253536215
37.8910538486,-122.294172389,37.8916021514,-122.293477611
37.7615518506,-122.259551777,37.7621001494,-122.258858223
37.5376588541,-121.959174729,37.5382071459,-121.958483271
37.7707878505,-122.263430821,37.7713361495,-122.262737179
37.7731818504,-122.267608832,37.7737301496,-122.266915168
37.7720388504,-122.272426827,37.7725871496,-122.271733173
37.670922852,-122.086483352,37.671471148,-122.085790648
37.7732388504,-122.290357832,37.7737871496,-122.289664168
37.7713538505,-122.284667823,37.7719021495,-122.283974177
37.7713358505,-122.279812823,37.7718841495,-122.279119177
37.8462638493,-122.285292177,37.8468121507,-122.284597823
37.8434918493,-122.280938164,37.8440401507,-122.280243836
37.8389748494,-122.282791143,37.8395231506,-122.282096857
37.8377258494,-122.280342137,37.8382741506,-122.279647863
37.8450258493,-122.271329171,37.8455741507,-122.270634829
37.8484038493,-122.265963187,37.8489521507,-122.265268813
37.8469098493,-122.26466818,37.8474581507,-122.26397382
37.8041068499,-122.244279978,37.8046551501,-122.243586022
37.7926948501,-122.197090924,37.7932431499,-122.196397076
37.543195854,-122.049586755,37.543744146,-122.048895245
37.8158518498,-122.260607033,37.8164001502,-122.259912967
