37.735371,-122.134977,94605-5821
37.751048,-122.122676,94605
37.746835,-122.140892,94605-5353
37.742017,-122.149763,94605-5214
37.751238,-122.155645,94605-4705
37.749173,-122.163851,94603-1926
37.752405,-122.178878,94621-1620
37.734825,-122.188895,94603-1123
37.730388,-122.183658,94603-2037
37.728282,-122.177450,94603-3565
37.823791,-122.229727,94611-3806
37.880877,-122.293950,94706-2252
37.658096,-122.097160,94544-1136
37.658096,-122.097160,94544-1136
37.654345,-122.104881,94545-2125
37.652251,-122.095707,94544-1103
37.643016,-122.087332,94544-3159
37.636875,-122.085336,94544-3729
37.634911,-122.079455,94544-4404
37.636399,-122.074399,94544-4509
37.638108,-122.107207,94545-2925
37.774327,-122.182368,94605-1614
37.639112,-122.094503,94545-3121
37.624098,-122.100241,94545-4013
37.628522,-122.099856,94545-4138
37.622713,-122.062431,94544-6429
37.619220,-122.042465,94544-7355
37.665543,-122.095333,94541-6300
37.668061,-122.080236,94544-1015
37.656670,-122.082955,94544-1931
37.855567,-122.283022,94702-2349
37.651426,-122.072540,94544-2951
37.644685,-122.071099,94544-3411
37.866258,-122.278007,94703-1646
37.642231,-122.058957,94544-4202
37.658474,-122.069833,94542-1819
37.655907,-122.037887,94542-2133
42.662800,22.573251,2494
37.671574,-122.147586,94580-1903
37.668681,-122.136568,94580-2760
37.670079,-122.138055,94580-2112
37.670079,-122.138055,94580-2112
37.676982,-122.134148,94580-2317
37.679870,-122.125652,94580-2453
37.694052,-122.125184,94580-1046
37.699694,-122.116987,94578-3016
37.702863,-122.110287,94578-1429
37.702863,-122.110287,94578-1429
37.682205,-122.157746,94579-1938
37.695326,-122.147940,94579-1409
53.348070,-6.248274,
37.696276,-122.151846,94579-1174
37.704216,-122.186223,94577-3159
37.725699,-122.153424,94577-4706
37.698114,-122.146217,94578-4116
37.873377,-122.273070,94709-2127
37.706915,-122.136897,94578-3403
37.717890,-122.143610,94577-6108
37.716102,-122.153232,94577
37.724410,-122.146660,94577-5204
37.736420,-122.146782,94577-2125
37.736463,-122.159222,94577-1820
37.730702,-122.161489,94577-2782
37.728304,-122.158561,94577-3767
37.723113,-122.160413,94577
37.687917,-122.069545,94546-6402
37.850561,-122.270638,94703-2467
37.698434,-122.080980,94546-4209
37.707048,-122.090200,94546-2936
37.716708,-122.073743,94546-1434
37.855256,-122.284795,94702-2331
37.704132,-122.060608,94546-3616
37.707724,-122.072023,94546-3104
37.699956,-122.061302,94546-4704
37.695863,-122.050830,94552-4908
37.676612,-121.882777,94566-5346
37.715273,-122.027844,94552
37.683931,-122.116477,94541-1304
37.728625,-122.179150,94603-3519
37.675029,-122.107987,94541-2432
37.676257,-122.098541,94541-2424
37.677970,-122.049607,94541-5511
37.678765,-122.061705,94541
37.812188,-122.226680,94610-1870
37.726522,-121.728828,94551-1100
37.683346,-121.728350,94550-3508
37.673925,-121.755738,94550-9315
37.677635,-121.783431,94550-4145
37.669582,-121.783496,94550-5414
37.661234,-121.784232,94550
37.666021,-121.796327,94550-5249
37.662713,-121.792202,94550-6215
37.688706,-121.783352,94551-1910
37.834024,-122.212864,94611-2144
37.683870,-121.786464,94551-6514
37.682811,-121.793608,94551-6504
37.823937,-122.261956,94609-2805
37.779668,-122.276321,94501-2161
37.661530,-121.869405,94566-7140
37.655727,-121.854863,94566-7236
37.655752,-121.876848,94566-7449
37.651062,-121.903650,94588-8169
37.550910,-121.982169,
37.672968,-121.920570,94588-9720
37.671197,-122.086137,
37.813664,-122.251243,94610-3233
37.675566,-122.030090,94552-5544
37.667331,-121.887089,94566
37.691870,-121.873622,94588-4130
37.766585,-122.244739,
37.667996,-121.884340,94566-6414
36.460165,-92.569119,
53.348070,-6.248274,
53.348070,-6.248274,
53.348070,-6.248274,
53.348070,-6.248274,
53.348070,-6.248274,
37.709988,-121.918888,94568-2118
37.596055,-122.027118,94587-3322
37.589600,-122.049970,94587-4105
37.584464,-122.068444,94587-4036
37.590195,-122.079960,94587-3820
37.571743,-122.071721,94587-5506
37.603638,-122.024619,94587-2195
37.811837,-122.241885,94610-2223
37.577868,-122.051922,94555-2069
37.572733,-122.052020,94555-2068
37.840385,-122.232820,94618-2230
37.576261,-122.040234,94555-2366
37.684563,-121.906815,94588-4411
37.578940,-122.044779,94555
37.576498,-122.030558,94555-2446
37.569832,-122.039856,94555-3206
37.567730,-122.021277,94536-3409
37.568821,-122.014061,94536-3536
37.562211,-122.030652,94536-5401
37.561684,-122.016804,94536-4769
37.555892,-122.015263,94536-4827
37.533570,-121.951060,94539-5042
37.792697,-122.188070,94619-2207
37.555011,-122.015963,94536
37.551717,-122.017305,94536-5721
37.545665,-122.004950,94536-6738
37.537509,-122.000592,94536-7357
37.546060,-121.990346,94538-1217
37.890379,-122.276861,94707-2316
37.537808,-121.992258,94538-1124
37.704538,-122.143872,94578-3424
37.864024,-122.258580,94704-2917
37.528169,-121.983267,94538-2449
37.527941,-121.977603,94538-3314
53.348070,-6.248274,
37.520108,-121.974028,94538-3262
37.715256,-122.073796,94546
37.513986,-121.968225,94538-3942
37.522463,-121.965407,94538-4084
37.763381,-122.140573,94605-4522
37.510993,-121.956232,94538-6801
37.528701,-121.958403,94538-4825
37.519842,-121.951635,94538-6113
37.579325,-121.989264,94536-1632
37.575809,-121.979158,94536-2922
37.578780,-121.967197,94536-1729
37.575000,-121.960103,94536-1817
37.566455,-122.051326,94555-3417
37.553699,-121.985738,94536-6105
37.562395,-121.965994,94536-4365
37.542046,-121.967015,94538-3520
37.535969,-121.961176,94538
37.550297,-121.947573,94539-3750
37.676982,-122.134148,94580-2317
37.542104,-121.940043,94539-4637
37.533454,-121.949829,94539-5036
37.509317,-121.933931,94539-6550
37.500651,-121.916323,94539-6813
37.680569,-122.079937,94546-6969
37.528194,-122.046064,94560-2719
37.535888,-122.051914,94560-2101
37.701803,-122.136888,94578-3829
37.550740,-122.039527,94560-1323
37.542288,-122.031586,94560-2554
37.592762,-121.884792,94586-9519
37.582083,-122.043714,94555-1342
37.742634,-122.160761,94603-3326
37.781777,-122.204878,94601-4835
37.796111,-122.196636,94619-1435
37.862507,-122.246896,94705-1300
37.862507,-122.246896,94705-1300
37.799895,-122.207330,94602-3309
37.865697,-122.253736,94704-3113
37.865697,-122.253736,94704-3113
37.535533,-122.034912,94560-3009
37.518588,-121.999043,94560-5406
37.872874,-122.269402,94704-1039
31.651575,-106.357494,
37.714143,-122.168220,94577-2403
37.879059,-122.286884,94702-1146
37.830066,-122.218103,94611-3115
37.837107,-122.261333,94609-2143
37.776635,-122.289571,94501-1827
37.540664,-122.007200,94536-7113
37.708208,-121.735394,94551-1331
37.830022,-122.205064,94611-2603
37.767703,-122.129638,94605-4614
37.833172,-122.250732,94611-4657
36.460165,-92.569119,
37.590780,-122.047310,94587-5708
37.816126,-122.260260,94611-5918
37.761322,-122.151488,94605-4110
37.799895,-122.207330,94602-3309
37.811641,-122.212446,94602-1805
37.855867,-122.280963,94702-2556
37.653130,-121.879953,94566-7607
37.618062,-122.035046,94544-7689
37.850688,-122.256852,94609-1106
37.724410,-122.146660,94577-5204
37.887655,-122.293147,94706-2043
37.736160,-122.241771,94502-6912
37.529016,-122.015212,94560-4536
37.534385,-122.023399,94560-4140
37.546388,-122.036316,94560-1848
37.792761,-122.208038,94602-3638
37.813046,-122.246940,94610-2737
37.772021,-122.255811,94501-2520
37.653130,-121.879953,94566-7607
37.869867,-122.271328,94704-1105
37.807958,-122.258798,94610-5000
37.807958,-122.258798,94610-5000
37.866978,-122.284640,94702-1921
37.869636,-122.272803,94704-1109
37.550910,-121.982169,
37.824171,-122.250479,94611-4830
37.547588,-121.981091,94538-2263
37.674447,-121.768194,94550-5712
37.697152,-121.781860,94551-1698
37.529948,-122.036318,94560-3614
